Epoch	Train	Validation
epoch: 1, step: 35, time: 32.1, train: 26.076, valid: 18.379, train_acc: 0.069, valid_acc: 0.086
epoch: 2, step: 70, time: 30.6, train: 19.054, valid: 17.175, train_acc: 0.088, valid_acc: 0.107
epoch: 3, step: 106, time: 35.7, train: 17.999, valid: 16.435, train_acc: 0.104, valid_acc: 0.129
epoch: 4, step: 142, time: 31.9, train: 17.205, valid: 15.742, train_acc: 0.115, valid_acc: 0.140
epoch: 5, step: 178, time: 34.5, train: 16.586, valid: 15.433, train_acc: 0.122, valid_acc: 0.147
epoch: 6, step: 214, time: 32.7, train: 16.083, valid: 15.033, train_acc: 0.131, valid_acc: 0.153
epoch: 7, step: 250, time: 33.8, train: 15.520, valid: 14.586, train_acc: 0.145, valid_acc: 0.163
epoch: 8, step: 286, time: 31.3, train: 15.046, valid: 13.821, train_acc: 0.156, valid_acc: 0.182
epoch: 9, step: 319, time: 32.7, train: 14.708, valid: 13.517, train_acc: 0.164, valid_acc: 0.187
epoch: 10, step: 352, time: 29.8, train: 14.340, valid: 13.243, train_acc: 0.175, valid_acc: 0.198
epoch: 11, step: 388, time: 34.0, train: 13.657, valid: 12.502, train_acc: 0.191, valid_acc: 0.217
epoch: 12, step: 424, time: 32.3, train: 13.420, valid: 12.066, train_acc: 0.198, valid_acc: 0.231
epoch: 13, step: 459, time: 32.7, train: 13.030, valid: 12.122, train_acc: 0.209, valid_acc: 0.226
epoch: 14, step: 494, time: 30.7, train: 12.671, valid: 11.433, train_acc: 0.219, valid_acc: 0.242
epoch: 15, step: 529, time: 33.4, train: 12.601, valid: 11.468, train_acc: 0.222, valid_acc: 0.245
epoch: 16, step: 564, time: 30.7, train: 12.383, valid: 11.325, train_acc: 0.230, valid_acc: 0.248
epoch: 17, step: 602, time: 36.1, train: 12.383, valid: 11.328, train_acc: 0.227, valid_acc: 0.255
epoch: 18, step: 640, time: 33.1, train: 12.238, valid: 11.055, train_acc: 0.231, valid_acc: 0.260
epoch: 19, step: 676, time: 32.5, train: 11.846, valid: 10.914, train_acc: 0.239, valid_acc: 0.264
epoch: 20, step: 712, time: 30.5, train: 11.538, valid: 10.519, train_acc: 0.246, valid_acc: 0.270
epoch: 21, step: 747, time: 31.7, train: 11.426, valid: 10.193, train_acc: 0.250, valid_acc: 0.279
epoch: 22, step: 782, time: 28.4, train: 11.258, valid: 10.439, train_acc: 0.253, valid_acc: 0.270
epoch: 23, step: 819, time: 35.3, train: 11.569, valid: 10.367, train_acc: 0.247, valid_acc: 0.279
epoch: 24, step: 856, time: 33.3, train: 11.316, valid: 10.223, train_acc: 0.253, valid_acc: 0.283
epoch: 25, step: 894, time: 33.3, train: 11.055, valid: 10.319, train_acc: 0.260, valid_acc: 0.277
epoch: 26, step: 932, time: 31.3, train: 10.834, valid: 10.197, train_acc: 0.265, valid_acc: 0.280
epoch: 27, step: 967, time: 34.7, train: 10.808, valid: 9.631, train_acc: 0.266, valid_acc: 0.297
epoch: 28, step: 1002, time: 31.1, train: 10.597, valid: 9.830, train_acc: 0.270, valid_acc: 0.293
epoch: 29, step: 1035, time: 30.0, train: 10.633, valid: 9.498, train_acc: 0.272, valid_acc: 0.303
epoch: 30, step: 1068, time: 28.2, train: 10.364, valid: 9.447, train_acc: 0.280, valid_acc: 0.307
epoch: 31, step: 1103, time: 32.4, train: 10.417, valid: 9.524, train_acc: 0.277, valid_acc: 0.302
epoch: 32, step: 1138, time: 29.3, train: 10.142, valid: 9.528, train_acc: 0.284, valid_acc: 0.297
epoch: 33, step: 1170, time: 31.3, train: 10.228, valid: 9.116, train_acc: 0.281, valid_acc: 0.312
epoch: 34, step: 1202, time: 29.5, train: 10.112, valid: 9.112, train_acc: 0.285, valid_acc: 0.319
epoch: 35, step: 1237, time: 32.3, train: 10.120, valid: 9.205, train_acc: 0.287, valid_acc: 0.311
epoch: 36, step: 1272, time: 29.4, train: 9.928, valid: 9.230, train_acc: 0.292, valid_acc: 0.308
epoch: 37, step: 1306, time: 32.1, train: 10.084, valid: 9.059, train_acc: 0.287, valid_acc: 0.313
epoch: 38, step: 1340, time: 29.5, train: 9.847, valid: 8.961, train_acc: 0.292, valid_acc: 0.317
epoch: 39, step: 1375, time: 32.5, train: 9.858, valid: 8.870, train_acc: 0.293, valid_acc: 0.323
epoch: 40, step: 1410, time: 30.1, train: 9.658, valid: 9.012, train_acc: 0.298, valid_acc: 0.319
epoch: 41, step: 1445, time: 33.4, train: 9.816, valid: 9.126, train_acc: 0.294, valid_acc: 0.315
epoch: 42, step: 1480, time: 31.4, train: 9.672, valid: 9.130, train_acc: 0.298, valid_acc: 0.316
epoch: 43, step: 1516, time: 32.8, train: 9.521, valid: 8.619, train_acc: 0.303, valid_acc: 0.333
epoch: 44, step: 1552, time: 29.9, train: 9.372, valid: 8.714, train_acc: 0.306, valid_acc: 0.331
epoch: 45, step: 1587, time: 32.7, train: 9.532, valid: 8.687, train_acc: 0.302, valid_acc: 0.327
epoch: 46, step: 1622, time: 29.7, train: 9.302, valid: 8.652, train_acc: 0.308, valid_acc: 0.327
epoch: 47, step: 1656, time: 33.5, train: 9.673, valid: 8.648, train_acc: 0.296, valid_acc: 0.325
epoch: 48, step: 1690, time: 32.4, train: 9.368, valid: 8.540, train_acc: 0.305, valid_acc: 0.331
epoch: 49, step: 1726, time: 34.2, train: 9.317, valid: 8.962, train_acc: 0.308, valid_acc: 0.323
epoch: 50, step: 1762, time: 31.0, train: 9.214, valid: 8.937, train_acc: 0.312, valid_acc: 0.311
epoch: 51, step: 1797, time: 33.2, train: 9.482, valid: 8.346, train_acc: 0.304, valid_acc: 0.340
epoch: 52, step: 1832, time: 30.8, train: 9.000, valid: 8.459, train_acc: 0.319, valid_acc: 0.336
epoch: 53, step: 1868, time: 33.7, train: 9.164, valid: 8.213, train_acc: 0.316, valid_acc: 0.347
epoch: 54, step: 1904, time: 31.3, train: 9.050, valid: 8.237, train_acc: 0.318, valid_acc: 0.345
epoch: 55, step: 1936, time: 30.9, train: 9.118, valid: 8.257, train_acc: 0.316, valid_acc: 0.345
epoch: 56, step: 1968, time: 27.3, train: 8.787, valid: 8.202, train_acc: 0.326, valid_acc: 0.343
epoch: 57, step: 2003, time: 32.9, train: 9.001, valid: 8.231, train_acc: 0.321, valid_acc: 0.347
epoch: 58, step: 2038, time: 31.0, train: 8.972, valid: 8.094, train_acc: 0.320, valid_acc: 0.355
epoch: 59, step: 2075, time: 34.6, train: 8.852, valid: 8.404, train_acc: 0.326, valid_acc: 0.333
epoch: 60, step: 2112, time: 31.5, train: 8.655, valid: 8.206, train_acc: 0.331, valid_acc: 0.346
epoch: 61, step: 2148, time: 34.1, train: 8.621, valid: 8.169, train_acc: 0.332, valid_acc: 0.346
epoch: 62, step: 2184, time: 32.3, train: 8.484, valid: 8.064, train_acc: 0.338, valid_acc: 0.350
epoch: 63, step: 2219, time: 32.6, train: 8.520, valid: 8.103, train_acc: 0.335, valid_acc: 0.349
epoch: 64, step: 2254, time: 29.7, train: 8.367, valid: 8.024, train_acc: 0.342, valid_acc: 0.348
epoch: 65, step: 2291, time: 33.2, train: 8.691, valid: 8.130, train_acc: 0.331, valid_acc: 0.350
epoch: 66, step: 2328, time: 31.5, train: 8.400, valid: 7.957, train_acc: 0.342, valid_acc: 0.351
epoch: 67, step: 2363, time: 34.1, train: 8.490, valid: 8.073, train_acc: 0.339, valid_acc: 0.357
epoch: 68, step: 2398, time: 31.0, train: 8.173, valid: 7.812, train_acc: 0.350, valid_acc: 0.364
epoch: 69, step: 2433, time: 33.8, train: 8.406, valid: 7.892, train_acc: 0.341, valid_acc: 0.358
epoch: 70, step: 2468, time: 31.6, train: 8.073, valid: 8.322, train_acc: 0.352, valid_acc: 0.344
epoch: 71, step: 2503, time: 35.0, train: 8.231, valid: 7.851, train_acc: 0.350, valid_acc: 0.352
epoch: 72, step: 2538, time: 31.7, train: 7.900, valid: 7.823, train_acc: 0.364, valid_acc: 0.359
epoch: 73, step: 2575, time: 34.9, train: 8.422, valid: 7.769, train_acc: 0.344, valid_acc: 0.364
epoch: 74, step: 2612, time: 32.8, train: 7.880, valid: 7.928, train_acc: 0.362, valid_acc: 0.357
epoch: 75, step: 2646, time: 35.2, train: 8.136, valid: 7.835, train_acc: 0.357, valid_acc: 0.363
epoch: 76, step: 2680, time: 32.3, train: 7.682, valid: 7.518, train_acc: 0.373, valid_acc: 0.372
epoch: 77, step: 2716, time: 33.8, train: 8.029, valid: 7.152, train_acc: 0.357, valid_acc: 0.390
epoch: 78, step: 2752, time: 31.4, train: 7.858, valid: 7.545, train_acc: 0.365, valid_acc: 0.376
epoch: 79, step: 2787, time: 33.4, train: 8.175, valid: 7.586, train_acc: 0.352, valid_acc: 0.368
epoch: 80, step: 2822, time: 30.1, train: 7.636, valid: 7.582, train_acc: 0.372, valid_acc: 0.369
epoch: 81, step: 2858, time: 34.4, train: 7.678, valid: 7.789, train_acc: 0.370, valid_acc: 0.367
epoch: 82, step: 2894, time: 32.5, train: 7.493, valid: 7.491, train_acc: 0.377, valid_acc: 0.376
epoch: 83, step: 2930, time: 34.0, train: 7.948, valid: 7.498, train_acc: 0.360, valid_acc: 0.373
epoch: 84, step: 2966, time: 32.3, train: 7.532, valid: 7.529, train_acc: 0.377, valid_acc: 0.371
epoch: 85, step: 3002, time: 33.8, train: 7.591, valid: 7.683, train_acc: 0.376, valid_acc: 0.368
epoch: 86, step: 3038, time: 30.9, train: 7.448, valid: 7.923, train_acc: 0.383, valid_acc: 0.357
epoch: 87, step: 3074, time: 34.0, train: 8.000, valid: 7.231, train_acc: 0.359, valid_acc: 0.387
epoch: 88, step: 3110, time: 30.9, train: 7.524, valid: 7.220, train_acc: 0.378, valid_acc: 0.385
epoch: 89, step: 3147, time: 35.8, train: 7.693, valid: 7.302, train_acc: 0.369, valid_acc: 0.386
epoch: 90, step: 3184, time: 33.4, train: 7.298, valid: 7.373, train_acc: 0.385, valid_acc: 0.381
epoch: 91, step: 3218, time: 33.7, train: 7.509, valid: 7.087, train_acc: 0.377, valid_acc: 0.393
epoch: 92, step: 3252, time: 30.9, train: 7.073, valid: 7.290, train_acc: 0.396, valid_acc: 0.388
epoch: 93, step: 3288, time: 35.4, train: 7.458, valid: 7.404, train_acc: 0.383, valid_acc: 0.379
epoch: 94, step: 3324, time: 32.9, train: 6.991, valid: 7.526, train_acc: 0.399, valid_acc: 0.375
